,model,window_size,runtime,auc,precision,recall,specificity,f1-score,trainset
0,Hydra,7,47734.0,96.0,91.43,94.12,97.2,92.75,FARSEEING
1,Rocket,7,8741.0,93.0,86.11,91.18,95.33,88.57,FARSEEING
2,MultiRocketHydra,7,49919.0,96.0,94.12,94.12,98.13,94.12,FARSEEING
3,Catch22,7,18544.0,97.0,88.89,70.59,97.2,78.69,FARSEEING
4,QUANT,7,43397.0,100.0,91.67,97.06,97.2,94.29,FARSEEING
5,Hydra,7,40197.0,76.0,90.0,52.94,98.13,66.67,FallAllD
6,Rocket,7,8952.0,74.0,64.52,58.82,89.72,61.54,FallAllD
7,MultiRocketHydra,7,43255.0,82.0,85.19,67.65,96.26,75.41,FallAllD
8,Catch22,7,13530.0,86.0,73.53,73.53,91.59,73.53,FallAllD
9,QUANT,7,41546.0,91.0,85.19,67.65,96.26,75.41,FallAllD
10,Hydra,7,58927.0,91.0,96.55,82.35,99.07,88.89,FallAllD+
11,Rocket,7,13566.0,86.0,83.87,76.47,95.33,80.0,FallAllD+
12,MultiRocketHydra,7,76803.0,90.0,93.33,82.35,98.13,87.5,FallAllD+
13,Catch22,7,29924.0,98.0,93.33,82.35,98.13,87.5,FallAllD+
14,QUANT,7,69698.0,98.0,96.3,76.47,99.07,85.25,FallAllD+
15,Hydra,7,150419.0,69.0,38.03,79.41,58.88,51.43,SisFall
16,Rocket,7,47541.0,76.0,39.53,100.0,51.4,56.67,SisFall
17,MultiRocketHydra,7,194974.0,69.0,37.33,82.35,56.07,51.38,SisFall
18,Catch22,7,93367.0,88.0,31.43,97.06,32.71,47.48,SisFall
19,QUANT,7,81703.0,84.0,46.15,88.24,67.29,60.61,SisFall
20,Hydra,7,180791.0,93.0,80.0,94.12,92.52,86.49,SisFall+
21,Rocket,7,52482.0,94.0,78.57,97.06,91.59,86.84,SisFall+
22,MultiRocketHydra,7,218681.0,94.0,88.57,91.18,96.26,89.86,SisFall+
23,Catch22,7,109712.0,95.0,77.14,79.41,92.52,78.26,SisFall+
24,QUANT,7,54873.0,98.0,83.33,88.24,94.39,85.71,SisFall+
25,Hydra,7,197882.0,91.0,87.88,85.29,96.26,86.57,All
26,Rocket,7,59128.0,88.0,74.36,85.29,90.65,79.45,All
27,MultiRocketHydra,7,233921.0,88.0,90.0,79.41,97.2,84.38,All
28,Catch22,7,141612.0,94.0,84.85,82.35,95.33,83.58,All
29,QUANT,7,122849.0,95.0,82.35,82.35,94.39,82.35,All
