,model,window_size,runtime,auc,precision,recall,specificity,f1-score,fold
0,Hydra,7,36567.0,97.0,95.83,93.88,99.58,94.85,0
1,Rocket,7,9225.0,95.0,88.94,90.31,98.83,89.62,0
2,MultiRocketHydra,7,41272.0,96.0,98.9,91.33,99.89,94.96,0
3,Catch22,7,12694.0,99.0,83.49,90.31,98.14,86.76,0
4,QUANT,7,4411.0,100.0,94.33,93.37,99.42,93.85,0
5,Hydra,7,35537.0,99.0,99.71,98.87,99.95,99.29,1
6,Rocket,7,8666.0,99.0,100.0,98.58,100.0,99.29,1
7,MultiRocketHydra,7,38090.0,100.0,100.0,100.0,100.0,100.0,1
8,Catch22,7,11452.0,100.0,97.46,97.73,99.54,97.6,1
9,QUANT,7,4362.0,100.0,97.73,97.73,99.59,97.73,1
10,Hydra,7,32767.0,94.0,96.79,87.44,99.72,91.88,2
11,Rocket,7,8542.0,94.0,97.84,87.44,99.81,92.35,2
12,MultiRocketHydra,7,38403.0,95.0,96.89,90.34,99.72,93.5,2
13,Catch22,7,12458.0,99.0,95.58,83.57,99.63,89.18,2
14,QUANT,7,3531.0,99.0,87.44,87.44,98.78,87.44,2
15,Hydra,7,35917.0,99.0,95.45,99.21,99.72,97.3,3
16,Rocket,7,8657.0,99.0,90.65,99.21,99.39,94.74,3
17,MultiRocketHydra,7,40392.0,100.0,100.0,99.21,100.0,99.6,3
18,Catch22,7,16894.0,100.0,95.93,92.91,99.76,94.4,3
19,QUANT,7,5083.0,100.0,100.0,96.06,100.0,97.99,3
20,Hydra,7,36961.0,96.0,95.69,92.78,99.42,94.21,4
21,Rocket,7,8865.0,93.0,100.0,85.93,100.0,92.43,4
22,MultiRocketHydra,7,42070.0,96.0,100.0,91.25,100.0,95.43,4
23,Catch22,7,13179.0,99.0,100.0,84.03,100.0,91.32,4
24,QUANT,7,5871.0,100.0,98.35,90.87,99.79,94.47,4
