,model,window_size,runtime,auc,precision,recall,specificity,f1-score
0,Hydra,3,65674.0,92.0,90.91,88.24,96.3,89.55
1,Rocket,3,6423.0,86.0,72.5,85.29,86.42,78.38
2,MultiRocketHydra,3,72451.0,94.0,93.94,91.18,97.53,92.54
3,Catch22,3,9959.0,95.0,93.1,79.41,97.53,85.71
4,QUANT,3,218203.0,100.0,96.97,94.12,98.77,95.52
5,Hydra,4,89282.0,92.0,90.91,88.24,96.3,89.55
6,Rocket,4,8383.0,88.0,75.0,88.24,87.65,81.08
7,MultiRocketHydra,4,69983.0,96.0,94.12,94.12,97.53,94.12
8,Catch22,4,10047.0,96.0,87.1,79.41,95.06,83.08
9,QUANT,4,199976.0,100.0,97.06,97.06,98.77,97.06
10,Hydra,5,72104.0,92.0,90.91,88.24,96.3,89.55
11,Rocket,5,9055.0,89.0,75.61,91.18,87.65,82.67
12,MultiRocketHydra,5,82104.0,94.0,91.18,91.18,96.3,91.18
13,Catch22,5,9689.0,95.0,87.88,85.29,95.06,86.57
14,QUANT,5,274448.0,100.0,97.06,97.06,98.77,97.06
15,Hydra,6,101087.0,95.0,91.43,94.12,96.3,92.75
16,Rocket,6,10674.0,89.0,73.81,91.18,86.42,81.58
17,MultiRocketHydra,6,103661.0,94.0,91.18,91.18,96.3,91.18
18,Catch22,6,12876.0,96.0,92.86,76.47,97.53,83.87
19,QUANT,6,394400.0,100.0,94.29,97.06,97.53,95.65
20,Hydra,7,115206.0,94.0,91.18,91.18,96.3,91.18
21,Rocket,7,12981.0,92.0,80.0,94.12,90.12,86.49
22,MultiRocketHydra,7,129515.0,94.0,91.18,91.18,96.3,91.18
23,Catch22,7,13962.0,95.0,82.14,67.65,93.83,74.19
24,QUANT,7,446683.0,100.0,94.29,97.06,97.53,95.65
25,Hydra,8,105632.0,95.0,88.89,94.12,95.06,91.43
26,Rocket,8,12905.0,91.0,81.58,91.18,91.36,86.11
27,MultiRocketHydra,8,124060.0,94.0,93.94,91.18,97.53,92.54
28,Catch22,8,15871.0,95.0,92.0,67.65,97.53,77.97
29,QUANT,8,401936.0,100.0,94.29,97.06,97.53,95.65
30,Hydra,9,123531.0,95.0,86.84,97.06,93.83,91.67
31,Rocket,9,15914.0,91.0,81.58,91.18,91.36,86.11
32,MultiRocketHydra,9,124213.0,95.0,96.88,91.18,98.77,93.94
33,Catch22,9,16043.0,96.0,90.0,79.41,96.3,84.38
34,QUANT,9,516596.0,100.0,94.29,97.06,97.53,95.65
35,Hydra,10,120048.0,95.0,88.89,94.12,95.06,91.43
36,Rocket,10,16829.0,93.0,82.05,94.12,91.36,87.67
37,MultiRocketHydra,10,147071.0,94.0,91.18,91.18,96.3,91.18
38,Catch22,10,16690.0,96.0,90.32,82.35,96.3,86.15
39,QUANT,10,501760.0,100.0,91.67,97.06,96.3,94.29
40,Hydra,11,166821.0,96.0,94.12,94.12,97.53,94.12
41,Rocket,11,18504.0,93.0,84.21,94.12,92.59,88.89
42,MultiRocketHydra,11,160811.0,94.0,93.94,91.18,97.53,92.54
43,Catch22,11,18496.0,96.0,90.32,82.35,96.3,86.15
44,QUANT,11,589065.0,100.0,97.06,97.06,98.77,97.06
45,Hydra,12,161923.0,95.0,91.43,94.12,96.3,92.75
46,Rocket,12,18541.0,93.0,82.05,94.12,91.36,87.67
47,MultiRocketHydra,12,196911.0,94.0,96.77,88.24,98.77,92.31
48,Catch22,12,21422.0,95.0,92.86,76.47,97.53,83.87
49,QUANT,12,842077.0,100.0,97.06,97.06,98.77,97.06
50,Hydra,13,171292.0,95.0,88.89,94.12,95.06,91.43
51,Rocket,13,21482.0,92.0,83.78,91.18,92.59,87.32
52,MultiRocketHydra,13,184452.0,94.0,91.18,91.18,96.3,91.18
53,Catch22,13,19907.0,96.0,90.32,82.35,96.3,86.15
54,QUANT,13,735792.0,100.0,94.29,97.06,97.53,95.65
55,Hydra,14,190396.0,95.0,88.89,94.12,95.06,91.43
56,Rocket,14,20976.0,91.0,81.58,91.18,91.36,86.11
57,MultiRocketHydra,14,214681.0,94.0,93.94,91.18,97.53,92.54
58,Catch22,14,22318.0,97.0,93.33,82.35,97.53,87.5
59,QUANT,14,967113.0,100.0,97.06,97.06,98.77,97.06
60,Hydra,15,229831.0,96.0,89.19,97.06,95.06,92.96
61,Rocket,15,25484.0,92.0,83.78,91.18,92.59,87.32
62,MultiRocketHydra,15,248651.0,96.0,94.12,94.12,97.53,94.12
63,Catch22,15,21642.0,97.0,90.91,88.24,96.3,89.55
64,QUANT,15,809279.0,100.0,97.06,97.06,98.77,97.06
65,Hydra,16,228662.0,97.0,91.67,97.06,96.3,94.29
66,Rocket,16,26317.0,93.0,86.11,91.18,93.83,88.57
67,MultiRocketHydra,16,257174.0,96.0,96.97,94.12,98.77,95.52
68,Catch22,16,22596.0,98.0,90.91,88.24,96.3,89.55
69,QUANT,16,834059.0,100.0,94.29,97.06,97.53,95.65
70,Hydra,17,255442.0,96.0,89.19,97.06,95.06,92.96
71,Rocket,17,25208.0,91.0,81.58,91.18,91.36,86.11
72,MultiRocketHydra,17,278496.0,96.0,96.97,94.12,98.77,95.52
73,Catch22,17,26712.0,97.0,90.91,88.24,96.3,89.55
74,QUANT,17,1025426.0,100.0,97.06,97.06,98.77,97.06
75,Hydra,18,247195.0,94.0,82.5,97.06,91.36,89.19
76,Rocket,18,30560.0,91.0,81.58,91.18,91.36,86.11
77,MultiRocketHydra,18,253764.0,94.0,93.94,91.18,97.53,92.54
78,Catch22,18,28150.0,98.0,91.43,94.12,96.3,92.75
79,QUANT,18,714941.0,100.0,97.06,97.06,98.77,97.06
80,Hydra,19,245383.0,94.0,80.49,97.06,90.12,88.0
81,Rocket,19,30275.0,91.0,81.58,91.18,91.36,86.11
82,MultiRocketHydra,19,256459.0,95.0,96.88,91.18,98.77,93.94
83,Catch22,19,28888.0,97.0,90.91,88.24,96.3,89.55
84,QUANT,19,1025835.0,100.0,94.29,97.06,97.53,95.65
85,Hydra,20,254539.0,93.0,82.05,94.12,91.36,87.67
86,Rocket,20,31059.0,93.0,86.11,91.18,93.83,88.57
87,MultiRocketHydra,20,278360.0,95.0,96.88,91.18,98.77,93.94
88,Catch22,20,27700.0,97.0,85.71,88.24,93.83,86.96
89,QUANT,20,988210.0,100.0,94.29,97.06,97.53,95.65
90,Hydra,21,295386.0,96.0,82.93,100.0,91.36,90.67
91,Rocket,21,32891.0,92.0,83.78,91.18,92.59,87.32
92,MultiRocketHydra,21,289305.0,98.0,97.06,97.06,98.77,97.06
93,Catch22,21,30252.0,97.0,90.91,88.24,96.3,89.55
94,QUANT,21,804923.0,100.0,97.06,97.06,98.77,97.06
95,Hydra,22,305700.0,95.0,80.95,100.0,90.12,89.47
96,Rocket,22,36024.0,92.0,88.24,88.24,95.06,88.24
97,MultiRocketHydra,22,311317.0,96.0,94.12,94.12,97.53,94.12
98,Catch22,22,34121.0,96.0,90.62,85.29,96.3,87.88
99,QUANT,22,1039770.0,100.0,97.06,97.06,98.77,97.06
100,Hydra,23,296156.0,96.0,82.93,100.0,91.36,90.67
101,Rocket,23,34929.0,93.0,88.57,91.18,95.06,89.86
102,MultiRocketHydra,23,329768.0,96.0,100.0,91.18,100.0,95.38
103,Catch22,23,31692.0,96.0,84.85,82.35,93.83,83.58
104,QUANT,23,1171851.0,100.0,93.94,91.18,97.53,92.54
105,Hydra,24,326671.0,95.0,80.95,100.0,90.12,89.47
106,Rocket,24,40274.0,94.0,91.18,91.18,96.3,91.18
107,MultiRocketHydra,24,336736.0,96.0,94.12,94.12,97.53,94.12
108,Catch22,24,32083.0,96.0,85.29,85.29,93.83,85.29
109,QUANT,24,1277335.0,100.0,97.06,97.06,98.77,97.06
110,Hydra,25,326060.0,92.0,76.74,97.06,87.65,85.71
111,Rocket,25,40244.0,93.0,86.11,91.18,93.83,88.57
112,MultiRocketHydra,25,330348.0,95.0,91.43,94.12,96.3,92.75
113,Catch22,25,33833.0,97.0,90.91,88.24,96.3,89.55
114,QUANT,25,1418377.0,100.0,94.29,97.06,97.53,95.65
115,Hydra,26,356815.0,94.0,77.27,100.0,87.65,87.18
116,Rocket,26,41534.0,94.0,91.18,91.18,96.3,91.18
117,MultiRocketHydra,26,346251.0,97.0,94.29,97.06,97.53,95.65
118,Catch22,26,36440.0,97.0,90.62,85.29,96.3,87.88
119,QUANT,26,1132004.0,100.0,97.06,97.06,98.77,97.06
120,Hydra,27,344653.0,91.0,73.33,97.06,85.19,83.54
121,Rocket,27,44174.0,93.0,88.57,91.18,95.06,89.86
122,MultiRocketHydra,27,358964.0,95.0,91.43,94.12,96.3,92.75
123,Catch22,27,34972.0,97.0,88.89,94.12,95.06,91.43
124,QUANT,27,1354591.0,100.0,94.29,97.06,97.53,95.65
